1,101,45297,45316
1,78,45322,45331
1,183,45339,45354
1,26,45361,45363
1,38,45370,45375
1,23,45376,45383
1,79,45388,45391
1,33,45394,45411
1,188,45412,45420
1,48,45423,45437
1,68,45443,45463
1,114,45473,45491
1,184,45501,45514
1,114,45519,45530
1,37,45538,45552
1,71,45553,45573
1,161,45579,45581
1,148,45590,45603
1,140,45605,45624
1,129,45633,45643
1,193,45645,45651
1,99,45654,45656
2,104,45305,45323
2,18,45335,45337
2,106,45341,45342
2,189,45344,45361
2,199,45364,45382
2,94,45396,45405
2,108,45413,45422
2,27,45425,45430
2,80,45434,45450
2,94,45451,45459
2,88,45465,45477
2,166,45487,45495
2,153,45499,45506
2,32,45515,45530
2,110,45535,45555
2,36,45568,45575
2,59,45588,45594
2,43,45601,45620
2,103,45626,45633
2,35,45635,45651
2,18,45383,45392
3,133,45295,45312
3,75,45359,45361
3,121,45393,45404
3,12,45449,45458
3,44,45473,45479
3,92,45507,45521
3,85,45539,45550
3,85,45555,45561
4,184,45343,45357
4,86,45385,45391
4,26,45482,45496
4,131,45523,45541
5,146,45297,45302
5,86,45308,45318
5,147,45331,45346
5,191,45353,45360
5,65,45361,45365
5,31,45374,45380
5,78,45381,45386
5,119,45387,45396
5,174,45406,45419
5,63,45429,45431
5,175,45437,45440
5,94,45452,45467
5,189,45475,45477
5,65,45481,45498
5,57,45499,45509
5,102,45521,45525
5,171,45536,45552
5,77,45560,45563
5,117,45573,45588
5,27,45595,45609
5,69,45617,45629
5,181,45631,45647
6,24,45304,45310
6,96,45319,45329
6,21,45342,45361
6,59,45366,45386
6,154,45392,45409
6,165,45423,45426
6,144,45429,45447
6,187,45457,45477
6,90,45480,45488
6,134,45502,45520
6,4,45527,45530
6,145,45537,45550
6,90,45564,45581
6,135,45587,45601
6,49,45614,45628
6,66,45638,45641
6,158,45647,45654
6,120,45383,45397
7,119,45293,45303
7,2,45304,45320
7,8,45323,45335
7,71,45339,45358
7,6,45362,45377
7,137,45380,45389
7,41,45398,45418
7,67,45429,45433
7,23,45440,45447
7,16,45450,45452
7,184,45464,45484
7,187,45497,45502
7,84,45505,45511
7,3,45514,45516
7,155,45517,45521
7,77,45522,45523
7,125,45526,45541
7,152,45542,45556
7,115,45565,45575
7,31,45584,45602
7,198,45607,45623
7,147,45634,45646
8,105,45299,45313
8,181,45331,45333
